"id","ope_rat_id","event_time","event_num","event_name"
"600","87","24/1/2025 12:34:11","7","0"
"601","87","24/1/2025 12:34:21","8","0"
"602","87","24/1/2025 12:52:00","11","0"
"603","87","24/1/2025 12:54:16","5","0"
"604","87","24/1/2025 13:03:39","1","0"
"605","87","24/1/2025 13:11:49","2","0"
"606","88","24/1/2025 13:49:55","9","0"
"607","88","24/1/2025 13:53:45","0","0"
"608","88","24/1/2025 13:54:53","8","0"
"609","88","24/1/2025 13:54:00","7","0"
"610","88","24/1/2025 14:03:13","1","0"
"611","88","24/1/2025 14:05:33","2","0"
"612","89","24/1/2025 14:15:26","9","0"
"613","89","24/1/2025 14:18:20","0","0"
"614","89","24/1/2025 14:25:06","1","0"
"615","89","24/1/2025 14:28:11","2","0"
"616","90","24/1/2025 14:51:18","9","0"
"617","90","24/1/2025 14:53:43","0","0"
"618","90","24/1/2025 14:57:12","1","0"
"619","90","24/1/2025 15:04:19","2","0"
"620","91","25/1/2025 09:22:45","9","0"
"621","91","25/1/2025 09:25:34","7","0"
"622","91","25/1/2025 09:25:35","3","0"
"623","91","25/1/2025 09:26:25","0","0"
"624","91","25/1/2025 09:35:16","7","0"
"625","91","25/1/2025 09:35:28","11","0"
"626","91","25/1/2025 09:41:19","1","0"
"627","91","25/1/2025 09:47:26","2","0"
"628","92","25/1/2025 10:14:20","9","0"
"629","92","25/1/2025 10:16:33","11","0"
"630","93","3/2/2025 08:45:13","9","0"
"631","93","3/2/2025 08:49:29","0","0"
"632","93","3/2/2025 08:50:38","7","0"
"633","93","3/2/2025 08:50:00","5","0"
"634","93","3/2/2025 08:50:50","8","0"
"635","93","3/2/2025 08:57:11","11","0"
"636","93","3/2/2025 09:04:10","1","0"
"637","93","3/2/2025 09:10:26","2","0"
"638","94","3/2/2025 09:31:54","9","0"
"639","94","3/2/2025 09:35:04","0","0"
"640","94","3/2/2025 09:36:53","5","0"
"641","94","3/2/2025 09:44:41","5","0"
"642","94","3/2/2025 09:43:53","11","0"
"643","94","3/2/2025 09:57:00","1","0"
"644","94","3/2/2025 10:05:20","2","0"
"645","95","4/2/2025 11:35:02","9","0"
